,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
0,Call Centre Agent,RMA CONTRACTS PTE. LTD.,sg.indeed.com/rc/clk?jk=a833dcac9b845238&fccid=55b200d1c815db92&vjs=3,Posted8 days ago,"$2,600 - $2,800 a month","Handle a large volume of outbound calls in a timely manner.
Ensure high completion rate of survey for total calls made.
Perform verification of inaccurate data.",2.0,0.0,1,0,1,1,0
1,Machine Operator - General Worker,EURO-LINK CONSULTANTS,sg.indeed.com/rc/clk?jk=86d2c472c28278ef&fccid=4aff03750b5b8ecc&vjs=3,Posted7 days ago,"$2,900 - $3,800 a month","6 days work week, off on Sundays.
Willing to learn, no experience needed.
Willing to work 12 hours shift.
Salary will be paid twice a month.",2.0,5.0,1,0,1,0,0
2,Packing,HOT SPICE CATERING PTE. LTD.,sg.indeed.com/rc/clk?jk=60532769fe7fed06&fccid=dd616958bd9ddc12&vjs=3,Posted30+ days ago,"$5,000 - $6,500 a month","Keep Rice on the Rice steamers on the stipulated timings as per cook advice.
Ensure proper food delviery without any leakage of the food items.",3.0,3.0,1,0,1,1,0
3,Work-from-home Accountants,Smaths Group of Companies pte ltd,sg.indeed.com/rc/clk?jk=5bb77b27c75a52dc&fccid=9fd47b677bca6204&vjs=3,Posted30+ days ago,$15 an hour,"Work-from-home Accountants Job Scope? To complete book-keeping duties off-premises. Pay? $15/hour onwards, depending on speed and quality of Jobs completed.…",0.0,5.0,0,0,0,0,0
4,Cat Care Assistant,PAYMHS PTE LTD,sg.indeed.com/company/PAYMHS-PTE-LTD/jobs/Cat-Care-Assistant-be07cb7d5a0b5b70?fccid=e91065633eb5736d&vjs=3,EmployerActive 1 day ago,$10 an hour,"Job Types: Part-time, Permanent, Freelance.",3.0,3.0,1,1,1,1,1
5,"Admin, Office (5-Day Perm)",TreeDots Enterprise,sg.indeed.com/company/TreeDots-Enterprise-(Private-Limited)/jobs/Admin-3cdcc910f28c0a88?fccid=b537df5d35d081f6&vjs=3,Posted5 days ago,"$2,000 - $2,300 a month","Booking of any flights / hotels for staff as per required.
*CENTRAL | 5-DAY OFFICE HOURS*.
Manage and coordinate daily general office administration duties.",2.0,2.0,0,0,1,1,0
6,Packer or Agri-Artisan - Join us!,SG Organic,sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0vuo5BXQ6YXdxZ2gNGAHwMUB2jM9DlGrIr6K_z3RZmj-QCyuD-r0BEeO-3gwqRob1_XNvY8MH69K03GPqB-Xt-FAyiiNKXygcgIOIe38RfWuXPG8fsqQzutTMa9QQopWSksFrQGrAzK2CVPtTYX1B9gHUq4OfIIynTdCLSXtROXeeQuqqsb5DMkmViJuf0eVCLZN4UN0FxjPjoXDvfW99Xk51tHdvUnQ80jMcF0KgTI2_KfdB8cNPaBSqBUpFTxEqgI7qYTDBCVw2dkzyCjkeHtSe1nA2PCtydGEJ5hwkKFHt35g0Azon6Wd9hQWoSVNPWOd2Jx9hkWfIHwUDT-GF2WPdcQGDpi_c5GhRrMjQfnmZjl8_ueQxTM269xfzKyLnobb7mVZlMfW3uMrcq9H_aVrMCOKY6DSiJuO2WsJT4YFW4THDqGdYvbWSufFBmR1nt954hbEXNJrYRrBs7Lk3nMUH1k5F_3P5r9481D-yLA==&p=7&fvj=1&vjs=3,Posted30+ days ago,$7 - $12 an hour,"Job Types: Full-time, Part-time, Temporary, Permanent.",2.0,4.0,0,0,0,1,0
7,Purchaser cum Admin Assistant,SOUTH FORWARD CONSTRUCTION PTE. LTD.,sg.indeed.com/rc/clk?jk=e7edbd1b215eebc2&fccid=aaada0f03eb444cd&vjs=3,Posted11 days ago,"$2,500 - $3,800 a month","Send request for quote to supplier, review the quotes & select the most competitive bids.
Issue and manage PO, DO &Inv.
Ensure all PO are placed timely.",0.0,4.0,1,1,1,1,1
8,Parcel Delivery,ENERJET PTE. LTD.,sg.indeed.com/rc/clk?jk=492e1e236266c5b6&fccid=c46530f6c59e8e33&vjs=3,Posted4 days ago,"$2,200 - $5,000 a month","Super clustered project , meaning you only cover 10 to 15 Block of HDB. no need to do any sorting in warehouse.",0.0,5.0,0,0,0,0,0
9,Weekend Admin Data Entry Clerk Wanted,Singapore,sg.indeed.com/rc/clk?jk=6c356c356f007254&fccid=3ddb8f68c8f9f588&vjs=3,Posted7 days ago,$25 an hour,"Answer the phones and direct calls to the appropriate team member.
Accurate Data Entry Skills (receipts, expenses, accounts payable).",3.0,0.0,0,0,0,0,0
